Tri;Taille;Permutations;Comparaisons
Bubble;10;20;45
Insert;10;20;28
Select;10;6;45
Quick;10;10;28
Fusion;10;13;24
Heap;10;26;55
Bubble;10;16;45
Insert;10;16;24
Select;10;6;45
Quick;10;18;21
Fusion;10;13;23
Heap;10;26;54
Bubble;10;16;45
Insert;10;16;22
Select;10;6;45
Quick;10;24;25
Fusion;10;12;23
Heap;10;25;54
Bubble;10;18;45
Insert;10;18;25
Select;10;8;45
Quick;10;20;19
Fusion;10;13;22
Heap;10;24;53
Bubble;10;26;45
Insert;10;26;32
Select;10;6;45
Quick;10;28;21
Fusion;10;12;24
Heap;10;24;55
Bubble;10;19;45
Insert;10;19;26
Select;10;7;45
Quick;10;22;22
Fusion;10;14;23
Heap;10;27;58
Bubble;10;35;45
Insert;10;35;42
Select;10;7;45
Quick;10;18;21
Fusion;10;7;19
Heap;10;18;52
Bubble;10;27;45
Insert;10;27;36
Select;10;7;45
Quick;10;16;27
Fusion;10;9;21
Heap;10;21;54
Bubble;10;24;45
Insert;10;24;30
Select;10;8;45
Quick;10;30;23
Fusion;10;11;23
Heap;10;22;52
Bubble;10;30;45
Insert;10;30;36
Select;10;8;45
Quick;10;26;21
Fusion;10;6;19
Heap;10;20;53
Bubble;20;105;190
Insert;20;105;120
Select;20;15;190
Quick;20;82;64
Fusion;20;29;61
Heap;20;63;163
Bubble;20;110;190
Insert;20;110;126
Select;20;16;190
Quick;20;120;92
Fusion;20;29;64
Heap;20;58;149
Bubble;20;102;190
Insert;20;102;118
Select;20;18;190
Quick;20;66;67
Fusion;20;29;59
Heap;20;60;154
Bubble;20;68;190
Insert;20;68;85
Select;20;14;190
Quick;20;32;74
Fusion;20;38;66
Heap;20;67;154
Bubble;20;102;190
Insert;20;102;120
Select;20;18;190
Quick;20;64;78
Fusion;20;31;59
Heap;20;60;149
Bubble;20;105;190
Insert;20;105;121
Select;20;15;190
Quick;20;68;68
Fusion;20;33;66
Heap;20;59;153
Bubble;20;83;190
Insert;20;83;99
Select;20;15;190
Quick;20;66;61
Fusion;20;36;67
Heap;20;65;155
Bubble;20;109;190
Insert;20;109;124
Select;20;19;190
Quick;20;64;61
Fusion;20;33;66
Heap;20;62;160
Bubble;20;125;190
Insert;20;125;140
Select;20;17;190
Quick;20;70;61
Fusion;20;32;59
Heap;20;60;159
Bubble;20;76;190
Insert;20;76;90
Select;20;16;190
Quick;20;74;72
Fusion;20;37;66
Heap;20;65;157
Bubble;30;235;435
Insert;30;235;262
Select;30;27;435
Quick;30;118;139
Fusion;30;56;110
Heap;30;118;301
Bubble;30;157;435
Insert;30;157;182
Select;30;27;435
Quick;30;102;132
Fusion;30;65;110
Heap;30;126;294
Bubble;30;226;435
Insert;30;226;250
Select;30;26;435
Quick;30;134;118
Fusion;30;54;113
Heap;30;105;272
Bubble;30;177;435
Insert;30;177;203
Select;30;23;435
Quick;30;122;118
Fusion;30;58;114
Heap;30;118;297
Bubble;30;243;435
Insert;30;243;269
Select;30;27;435
Quick;30;114;111
Fusion;30;61;114
Heap;30;116;295
Bubble;30;237;435
Insert;30;237;261
Select;30;29;435
Quick;30;158;128
Fusion;30;56;108
Heap;30;101;276
Bubble;30;185;435
Insert;30;185;211
Select;30;25;435
Quick;30;138;135
Fusion;30;60;113
Heap;30;110;287
Bubble;30;218;435
Insert;30;218;244
Select;30;26;435
Quick;30;98;115
Fusion;30;58;114
Heap;30;104;280
Bubble;30;241;435
Insert;30;241;267
Select;30;27;435
Quick;30;180;138
Fusion;30;64;111
Heap;30;100;268
Bubble;30;269;435
Insert;30;269;292
Select;30;27;435
Quick;30;168;136
Fusion;30;56;112
Heap;30;99;275
Bubble;40;451;780
Insert;40;451;481
Select;40;35;780
Quick;40;280;194
Fusion;40;84;165
Heap;40;161;421
Bubble;40;390;780
Insert;40;390;426
Select;40;34;780
Quick;40;228;203
Fusion;40;84;163
Heap;40;156;420
Bubble;40;399;780
Insert;40;399;434
Select;40;35;780
Quick;40;230;191
Fusion;40;92;169
Heap;40;165;431
Bubble;40;520;780
Insert;40;520;554
Select;40;36;780
Quick;40;166;161
Fusion;40;91;171
Heap;40;157;422
Bubble;40;416;780
